full_date,speech_name,raw_spoke_to,vars.link,spoke_to,org_exist,place_1,place_2,name,position_cat,any_speech,bankersfinance,other_private,otherregulators,io,community_organisations,thinktank,press_association,prof_econ_assoc,university,hearing,trade_assoc,non_finance_gov,nonbuinessadvocacy,social_events,economic_literacy,other,org
08-Jan-98,The economic outlook and challenges facing monetary policy,"Before the Economic Strategy Institute, Washington, D.C.",http://www.federalreserve.gov/boarddocs/speeches/1998/19980108.htm,the Economic Strategy Institute,, Washington, D.C.,Laurence H. Meyer,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
12-Jan-98,Economic development in low- and moderate-income communities,"At a Community Forum on Community Reinvestment and Access to Credit: California's Challenge, Los Angeles, California",http://www.federalreserve.gov/boarddocs/speeches/1998/19980112.htm,ommunity Forum on Community Reinvestment and Access to Credit: California's Challenge,, Los Angele,,Alan Greenspan,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
16-Jan-98,The underemployment of minorities,"At the Wall Street Project Anniversary Conference of the Rainbow/PUSH Coalition, New York, New York",http://www.federalreserve.gov/boarddocs/speeches/1998/19980116.htm,Wall Street Project Anniversary Conference of the Rainbow/PUSH Coalition,, New York, New York,Alan Greenspan,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11-Feb-98,Year 2000: a worldwide concern ,"Before the Florida International Bankers Association and the Miami Bond Club, Miami, Florida",http://www.federalreserve.gov/boarddocs/speeches/1998/19980211.htm,the Florida International Bankers Association and the Miami Bond Club,, Miami, Florida,Edward W. Kelley,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17-Feb-98,Does good policy analysis matter?,"Before the Dedication of The Alice Mitchell Rivlin Conference Room, Office of the Assistant Secretary for Planning and Evaluation (ASPE), Department of Health and Human Services, Washington, D.C.",http://www.federalreserve.gov/boarddocs/speeches/1998/19980217.htm,the Dedication of The Alice Mitchell Rivlin Conference Room,, Office of the Assistant Secretary f,,Alice M. Rivlin,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12
26-Feb-98,The role of capital in optimal banking supervision and regulation,"Before the Conference on Capital Regulation in the 21st Century, Federal Reserve Bank of New York, New York, NY",http://www.federalreserve.gov/boarddocs/speeches/1998/19980226.htm,the Conference on Capital Regulation in the 21st Century,, Federal Reserve Bank of New York, New,Alan Greenspan,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
27-Feb-98,Risk management in the global financial system,"Before the Annual Financial Markets Conference of the Federal Reserve Bank of Atlanta, Miami Beach, Florida",http://www.federalreserve.gov/boarddocs/speeches/1998/19980227.htm,the Annual Financial Markets Conference of the Federal Reserve Bank of Atlanta,, Miami Beach, Flo,Alan Greenspan,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
27-Feb-98,Monetary rules,"The Samuelson Lecture, before the 24th Annual Conference of the Eastern Economic Association, New York, New York",http://www.federalreserve.gov/boarddocs/speeches/1998/199802272.htm,muelson Lecture,, before the 24th Annual Conference of the Eastern Economic Association, New York,Edward M. Gramlich,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
02-Mar-98,Financial globalization and efficient banking regulation,"Before the Annual Washington Conference of the Institute of International Bankers, Washington, D.C.",http://www.federalreserve.gov/boarddocs/speeches/1998/19980302.htm,the Annual Washington Conference of the Institute of International Bankers,, Washington, D.C.,Laurence H. Meyer,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
03-Mar-98,Implications of recent Asian developments for community banking,"Before the Annual Convention of the Independent Bankers Association of America, Honolulu, Hawaii",http://www.federalreserve.gov/boarddocs/speeches/1998/19980303.htm,the Annual Convention of the Independent Bankers Association of America,, Honolulu, Hawaii,Alan Greenspan,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
04-Mar-98,The Asian crisis: lessons to be learned and relearned,"Before America's Community Bankers, Washington, D.C.",http://www.federalreserve.gov/boarddocs/speeches/1998/19980304.htm,America's Community Bankers,, Washington, D.C.,Roger W. Ferguson,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
06-Mar-98,Capital budgeting,"Before the President's Commission to Study Capital Budgeting, Washington, D.C.",http://www.federalreserve.gov/boarddocs/speeches/1998/19980306.htm,the President's Commission to Study Capital Budgeting,, Washington, D.C.,Edward M. Gramlich,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10
09-Mar-98,Bank supervision: lessons from the consulting perspective,"Before the Conference of State Bank Supervisors, Washington, D.C.",http://www.federalreserve.gov/boarddocs/speeches/1998/19980309.htm,the Conference of State Bank Supervisors,, Washington, D.C.,Roger W. Ferguson,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
16-Mar-98,The strategy of monetary policy ,"The Alan R. Holmes Lecture, Middlebury College, Middlebury, Vermont",http://www.federalreserve.gov/boarddocs/speeches/1998/19980316.htm,an R. Holmes Lecture,, Middlebury College, Middlebury,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
