initialorder,Date,speechtitle,TestimonyHyperlink,name,position_cat1,position_cat2,committefull,CleanFullCommitteeName1,CleanFullCommitteeName2,SubCommittee,duplicatespeech,legislature,full_date,HearingNumber,TranscriptHyperlink,FedLetterCorrespondence,attendance,laughter,SecondTestimony,SpecialInterest,
100,19-Mar-2009,Modernizing bank supervision and regulation,http://www.federalreserve.gov/newsevents/testimony/tarullo20090319a.htm,Daniel K. Tarullo,Governor,,"Banking, Housing, and Urban Affairs, U.S. Senate","Committee on Banking, Housing, and Urban Affairs",,,,Senate,19/03/2009,"S. Hrg. 111-109
",http://www.gpo.gov/fdsys/pkg/CHRG-111shrg52619/html/CHRG-111shrg52619.htm,,,4,,,
103,5-Mar-2009,American International Group,http://www.federalreserve.gov/newsevents/testimony/kohn20090305a.htm,Donald L. Kohn,Vice Chairman,,"Banking, Housing, and Urban Affairs, U.S. Senate","Committee on Banking, Housing, and Urban Affairs",,,,Senate,05/03/2009,"S. Hrg. 111-69
",http://www.gpo.gov/fdsys/pkg/CHRG-111shrg51303/html/CHRG-111shrg51303.htm,,,0,,,
111,23-Oct-2008,Foreclosure prevention efforts and market stability,http://www.federalreserve.gov/newsevents/testimony/duke20081023a.htm,Elizabeth A. Duke,Governor,,"Banking, Housing, and Urban Affairs, U.S. Senate","Committee on Banking, Housing, and Urban Affairs",,,,Senate,23/10/2008,"S. Hrg. 110-1014
",http://www.gpo.gov/fdsys/pkg/CHRG-110shrg50416/html/CHRG-110shrg50416.htm,,,1,,,
114,23-Sep-2008,U.S. financial markets,http://www.federalreserve.gov/newsevents/testimony/bernanke20080923a1.htm,Ben S. Bernanke,Chairman,,"Banking, Housing, and Urban Affairs, U.S. Senate","Committee on Banking, Housing, and Urban Affairs",,,"Chairman Bernanke presented identical testimony before the Committee on Financial Services, U.S. House of Representatives, on September 24, 2008",Senate,23/09/2008,"S. Hrg. 110-1012
",http://www.gpo.gov/fdsys/pkg/CHRG-110shrg50414/html/CHRG-110shrg50414.htm,,,4,,,
116,15-Jul-2008,Semiannual Monetary Policy Report to the Congress,http://www.federalreserve.gov/newsevents/testimony/bernanke20080715a.htm,Ben S. Bernanke,Chairman,,"Banking, Housing, and Urban Affairs, U.S. Senate","Committee on Banking, Housing, and Urban Affairs",,,"Chairman Bernanke presented identical testimony before the Committee on Financial Services, U.S. House of Representatives, on July 16, 2008",Senate,15/07/2008,"S. Hrg. 110-1008
",http://www.gpo.gov/fdsys/pkg/CHRG-110shrg50410/html/CHRG-110shrg50410.htm,,,0,,,
120,5-Jun-2008,Condition of the banking system,http://www.federalreserve.gov/newsevents/testimony/kohn20080605a.htm,"man,Â Donald L. Kohn",Vice Chair,,"Banking, Housing, and Urban Affairs, U.S. Senate","Committee on Banking, Housing, and Urban Affairs",,,,Senate,05/06/2008,"S. Hrg. 110-1004
",http://www.gpo.gov/fdsys/pkg/CHRG-110shrg50405/html/CHRG-110shrg50405.htm,,,2,,,
121,24-Apr-2008,Sovereign wealth funds,http://www.federalreserve.gov/newsevents/testimony/alvarez20080424a.htm,Scott G. Alvarez,General Counsel,,"Banking, Housing, and Urban Affairs, U.S. Senate","Committee on Banking, Housing, and Urban Affairs",,,,Senate,24/04/2008,"110-980
",http://www.gpo.gov/fdsys/pkg/CHRG-110shrg50400/html/CHRG-110shrg50400.htm,,,2,,,
126,3-Apr-2008,Developments in the financial markets,http://www.federalreserve.gov/newsevents/testimony/bernanke20080403a.htm,Ben S. Bernanke,Chairman,,"Banking, Housing, and Urban Affairs, U.S. Senate","Committee on Banking, Housing, and Urban Affairs",,,,Senate,03/04/2008,"S. Hrg. 110-974
",http://www.gpo.gov/fdsys/pkg/CHRG-110shrg50394/html/CHRG-110shrg50394.htm,,,1,,,
130,4-Mar-2008,Condition of the U.S. banking system,http://www.federalreserve.gov/newsevents/testimony/kohn20080304a.htm,"man,Â Donald L. Kohn",Vice Chair,,"Banking, Housing, and Urban Affairs, U.S. Senate","Committee on Banking, Housing, and Urban Affairs",,,,Senate,04/03/2008,"S. Hrg. 110-959
",http://www.gpo.gov/fdsys/pkg/CHRG-110shrg50370/html/CHRG-110shrg50370.htm,,,2,,,
133,14-Feb-2008,The economy and financial markets,http://www.federalreserve.gov/newsevents/testimony/bernanke20080214a.htm,Ben S. Bernanke,Chairman,,"Banking, Housing, and Urban Affairs, U.S. Senate","Committee on Banking, Housing, and Urban Affairs",,,,Senate,14/02/2008,"S. Hrg. 110-958
",http://www.gpo.gov/fdsys/pkg/CHRG-110shrg50368/html/CHRG-110shrg50368.htm,,,0,,,
