,DateField,Date,speech_name,raw_spoke_to,spoke_to,org_exist,place_1,place_2,name,position_cat,any_speech,bankersfinance,other_private,otherregulators,io,community_organisations,thinktank,press_association,prof_econ_assoc,university,hearing,trade_assoc,non_finance_gov,nonbuinessadvocacy,social_events,economic_literacy,other,org
81,3/1/1998,3/19/1998,Next steps for D.C.,"Before the 1998 Student Conference of the Georgetown University Public Policy Institute, Washington, D.C.",the 1998 Student Conference of the Georgetown University Public Policy Institute,NA, Washington, D.,Alice M. Rivlin,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
82,3/1/1998,3/19/1998,The changing banking environment and emerging questions for public policy ,"Before the Ohio Bankers Day conference, Columbus, Ohio",the Ohio Bankers Day conference,NA, Columbus, Ohio,Roger W. Ferguson,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83,3/1/1998,3/26/1998,Lessons and perspectives ,"Before the International Swaps and Derivatives Association, 13th Annual General Meeting, Rome, Italy",the International Swaps and Derivatives Association,NA, 13th Annual General Meeting, Rome,Susan M. Phillips,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84,4/1/1998,4/2/1998,The ascendance of market capitalism ,"Before the Annual Convention of the American Society of Newspaper Editors, Washington, D.C.",the Annual Convention of the American Society of Newspaper Editors,NA, Washington, D.C.,Alan Greenspan,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7
85,4/1/1998,4/2/1998,Come with me to the FOMC ,"The Gillis Lecture, Willamette University, Salem, Oregon",llis Lecture,NA, Willamette University, Salem,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
86,4/1/1998,4/4/1998,The Federal Reserve's role in the payments system and its effect on competition ,"Before the Bankers Roundtable, Phoenix, Arizona",the Bankers Roundtable,NA, Phoenix, Arizona,Roger W. Ferguson,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,4/1/1998,4/9/1998,The economic outlook and the challenges facing monetary policy ,"Presented to Public Policy Meeting, Federal Reserve Bank of Atlanta",ted to Public Policy Meeting,NA, Federal Reserve Bank of Atlanta,,Laurence H. Meyer,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
88,4/1/1998,4/16/1998,The Federal Reserve and bank supervision and regulation ,"Before the Spring 1998 Banking and Finance Lecture, Widener University, Chester, Pennsylvania",the Spring 1998 Banking and Finance Lecture,NA, Widener University, Chester,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
89,4/1/1998,4/16/1998,Are banks safe for the world and is the world safe for banks?,"Before the Urban Bankers Coalition, Inc., New York, New York",the Urban Bankers Coalition,NA, Inc., New York,Roger W. Ferguson,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,4/1/1998,4/23/1998,Toward a better class of financial crises: some lessons from Asia,"Before the Hyman P. Minsky Conference on Financial Structure, The Levy Institute, Annandale-on-Hudson, New York",the Hyman P. Minsky Conference on Financial Structure,NA, The Levy Institute, Annandale-on-Hudson,Alice M. Rivlin,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
91,4/1/1998,4/30/1998,Housing and the economy: sharing in the prosperity and broadening its base,"Before the National Association of Home Builders Construction Forecast Conference, Washington, D.C.",the National Association of Home Builders Construction Forecast Conference,NA, Washington, D.C.,Laurence H. Meyer,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
